Timestamp,email,week_nfl,bet_description,line,total_stake,result,return
10/12/2025 11:39:39,1,6,BAL Ravens ML,275,2,Loss,0
10/12/2025 11:42:10,4,6,DET Lions ML,114,10,Loss,0
10/12/2025 12:48:17,3,6,CLE Browns ML,235,2,Loss,0
10/18/2025 10:01:21,1,7,Georgia Tech ML,140,1,Win,2.4
10/18/2025 10:01:37,1,7,Maryland ML,136,1,Loss,0
10/18/2025 10:01:51,1,7,Michigan State +27.5,-112,1,Win,1.89
10/18/2025 10:04:11,1,7,Under 59.5 USC vs ND,-110,1,Win,1.9
10/18/2025 10:36:27,2,7,Indiana -27.5,-108,2,Loss,0
10/18/2025 10:38:07,2,7,Alabama -9.5,-108,2,Win,3.85
10/18/2025 10:38:27,2,7,Notre Dame -10.5,-105,2,Loss,0
10/18/2025 13:08:24,3,7,USC ML,285,5,Loss,0
10/18/2025 19:17:58,4,7,DET Lions ML,-285,10,Win,13.5
10/19/2025 10:34:50,1,7,NY Giants ML,295,3,Loss,0
10/19/2025 10:35:06,1,7,NO Saints +3.5,102,3,Loss,0
10/19/2025 11:35:29,2,7,IND Colts +2.5,-115,2,Win,3.73
10/19/2025 11:35:47,2,7,WAS Commanders ML,105,2,Win,4.1
10/20/2025 16:51:49,3,7,Over 53.5 Bucs vs Lions,-108,5,Loss,0
10/23/2025 18:39:19,2,8,MIN Vikings ML,142,3,Loss,0
10/25/2025 9:40:11,1,8,UCLA +26.5,-112,2,Loss,0
10/25/2025 9:40:27,1,8,BYU ML,120,2,,0
10/25/2025 9:40:43,1,8,Michigan State +14,-108,2,,0
10/25/2025 11:31:18,2,8,South Dakota State ML,220,5,,0
10/25/2025 11:56:54,3,8,Ole Miss ML,164,2,,0
10/25/2025 11:57:13,3,8,Minnesota ML,260,2,,0
10/25/2025 18:41:41,3,8,South Dakota State ML,220,2,,0
